

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
015.492  000.532  000.033: require('nvim-tree.actions.tree')
015.493  001.428  000.034: require('nvim-tree.actions')
015.587  000.047  000.047: require('nvim-tree.keymap')
015.591  000.097  000.050: require('nvim-tree.help')
015.612  000.020  000.020: require('nvim-tree.marks.navigation')
015.633  000.020  000.020: require('nvim-tree.marks.bulk-delete')
015.652  000.019  000.019: require('nvim-tree.marks.bulk-trash')
015.673  000.019  000.019: require('nvim-tree.marks.bulk-move')
015.698  001.684  000.082: require('nvim-tree.api')
015.703  001.717  000.033: require('nvim-tree.commands')
015.730  000.027  000.027: require('nvim-tree.legacy')
015.817  000.003  000.003: require('vim.F')
015.861  000.122  000.119: require('vim.diagnostic')
015.875  004.590  000.424: require('nvim-tree')
016.387  000.199  000.199: require('nvim-web-devicons.icons-default')
016.492  000.366  000.167: require('nvim-web-devicons')
017.800  000.005  000.005: require('vim.keymap')
017.819  006.737  001.775: require('plugins.nvim-tree')
018.278  000.023  000.023: sourcing /home/beicker/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
018.527  000.173  000.173: require('plenary.bit')
018.643  000.101  000.101: require('plenary.functional')
018.673  000.597  000.300: require('plenary.path')
018.807  000.088  000.088: require('plenary.job')
018.809  000.135  000.046: require('harpoon.utils')
018.949  000.105  000.105: require('plenary.log')
018.968  000.158  000.053: require('harpoon.dev')
019.176  001.129  000.239: require('harpoon')
019.184  001.271  000.142: require('harpoon.mark')
019.409  000.062  000.062: require('plenary.strings')
019.412  000.110  000.048: require('plenary.window.border')
019.441  000.028  000.028: require('plenary.window')
019.466  000.024  000.024: require('plenary.popup.utils')
019.469  000.235  000.074: require('plenary.popup')
019.473  000.287  000.052: require('harpoon.ui')
019.592  001.716  000.158: require('plugins.harpoon')
019.776  000.117  000.117: sourcing /home/beicker/.local/share/nvim/lazy/vim-signify/plugin/signify.vim
020.129  000.052  000.052: sourcing /home/beicker/.local/share/nvim/lazy/nvim-ts-context-commentstring/plugin/ts_context_commentstring.lua
020.395  000.212  000.212: require('ts_context_commentstring')
020.442  000.045  000.045: require('ts_context_commentstring.config')
020.447  000.306  000.050: require('plugins.ts-context-commentstring')
021.091  000.262  000.262: require('nvim-treesitter.utils')
021.356  000.019  000.019: require('vim.treesitter.language')
021.362  000.053  000.034: require('vim.treesitter.query')
021.382  000.019  000.019: require('vim.treesitter._range')
021.386  000.109  000.037: require('vim.treesitter.languagetree')
021.390  000.181  000.072: require('vim.treesitter')
021.653  000.560  000.379: require('nvim-treesitter.parsers')
021.745  000.015  000.015: require('nvim-treesitter.compat')
021.788  000.024  000.024: require('nvim-treesitter.ts_utils')
021.790  000.044  000.020: require('nvim-treesitter.tsrange')
021.806  000.015  000.015: require('nvim-treesitter.caching')
021.811  000.102  000.028: require('nvim-treesitter.query')
021.818  000.139  000.037: require('nvim-treesitter.configs')
021.820  000.166  000.027: require('nvim-treesitter.info')
021.851  000.030  000.030: require('nvim-treesitter.shell_command_selectors')
021.864  001.211  000.194: require('nvim-treesitter.install')
021.883  000.017  000.017: require('nvim-treesitter.statusline')
021.905  000.022  000.022: require('nvim-treesitter.query_predicates')
021.907  001.408  000.158: require('nvim-treesitter')
022.043  001.571  000.163: sourcing /home/beicker/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
022.776  000.032  000.032: require('nvim-treesitter.highlight')
022.830  000.035  000.035: require('nvim-treesitter.indent')
022.837  000.780  000.713: require('plugins.treesitter')
023.342  000.021  000.021: require('Comment.config')
023.428  000.052  000.052: require('Comment.ft')
023.432  000.087  000.035: require('Comment.utils')
023.470  000.037  000.037: require('Comment.opfunc')
023.492  000.022  000.022: require('Comment.extra')
023.495  000.446  000.279: require('Comment.api')
023.601  000.714  000.269: sourcing /home/beicker/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
023.644  000.028  000.028: require('Comment')
023.669  000.023  000.023: require('ts_context_commentstring.integrations.comment_nvim')
024.350  000.615  000.615: sourcing /home/beicker/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
024.400  000.006  000.006: sourcing /home/beicker/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
024.784  000.059  000.059: require('nvim-autopairs._log')
024.830  000.044  000.044: require('nvim-autopairs.utils')
024.958  000.055  000.055: require('nvim-autopairs.conds')
024.965  000.101  000.046: require('nvim-autopairs.rule')
024.966  000.135  000.034: require('nvim-autopairs.rules.basic')
024.976  000.427  000.188: require('nvim-autopairs')
025.638  000.053  000.053: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/init.vim
026.022  000.233  000.233: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/parts.vim
026.105  000.006  000.006: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/formatter/short_path.vim
026.644  000.086  000.086: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/util.vim
026.696  001.296  000.918: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/plugin/airline.vim
026.966  000.176  000.176: sourcing /home/beicker/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
027.299  000.280  000.280: require('telescope.builtin')
027.630  000.067  000.067: require('telescope.deprecated')
027.745  000.059  000.059: require('telescope.log')
027.843  000.041  000.041: require('telescope.state')
027.850  000.103  000.063: require('telescope.utils')
027.855  000.222  000.060: require('telescope.sorters')
029.440  001.982  001.692: require('telescope.config')
029.556  000.113  000.113: require('telescope.pickers.scroller')
029.618  000.060  000.060: require('telescope.actions.state')
029.682  000.062  000.062: require('telescope.actions.utils')
029.760  000.022  000.022: require('telescope.actions.mt')
029.769  000.086  000.064: require('telescope.actions.set')
029.809  000.022  000.022: require('telescope.config.resolve')
029.811  000.042  000.020: require('telescope.pickers.entry_display')
029.827  000.016  000.016: require('telescope.from_entry')
029.937  002.591  000.231: require('telescope.actions')
030.000  000.041  000.041: require('telescope._extensions')
030.003  000.064  000.023: require('telescope')
